"Date 2023-12-13 18.08.24","Track Silverstone (2022)","Session Type 0","Duration 0"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","23","1","32,4826431274414","","0L","2:01,322","0:36,002","0:51,190","0:34,130","+3,233","+4,685","-4,759","-1,775","OPTIMUM","Dry","26,8475986195286","26,9215543265993","26,6729613804714","26,5958446464646","83,0229594949495","93,2053762121212","83,2938764983165","91,7552782828283","1","253 Km/h","22,6740667976424","0","0","0","0","0","25,45517","30,70093","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","24","1","29,2869758605957","Invalid lap. ","0L","2:01,150","0:35,885","0:51,077","0:34,187","+3,061","+4,513","-4,931","-1,947","OPTIMUM","Dry","26,8469875589226","26,9404121548822","26,5908916666667","26,50636996633","83,0369029124579","93,8488352188552","82,4592942087542","90,9157297811448","1","253 Km/h","23,0722495088409","0","0","0","0","0","25,42459","30,60813","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","25","1","26,0730762481689","","0L","2:01,130","0:35,917","0:51,025","0:34,187","+3,041","+4,493","-4,951","-1,967","OPTIMUM","Dry","26,8314011577181","26,9185524328859","26,5932740771812","26,5098792114094","82,8981810234899","93,8081687080537","82,5053166610738","90,9727572986577","1","253 Km/h","22,8440415019763","0","0","0","0","0","25,39372","30,51452","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","26","1","22,8871650695801","Invalid lap. ","0L","2:01,342","0:35,985","0:51,222","0:34,135","+3,253","+4,705","-4,739","-1,755","OPTIMUM","Dry","26,8412142785235","26,9248102181208","26,5620698993289","26,4700981711409","83,0293736744966","93,9460699161074","82,2029142281879","90,5847788758389","1","254 Km/h","22,5954545454545","0","0","0","0","0","25,36249","30,41991","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","27","1","19,6782112121582","","0L","2:01,515","0:35,927","0:51,420","0:34,167","+3,426","+4,878","-4,566","-1,582","OPTIMUM","Dry","26,8595521105528","26,9327050921273","26,5725967336683","26,4640458961474","83,2413041708543","94,1516020100503","82,3334806030151","90,6398669681742","1","254 Km/h","22,7525793650794","0","0","0","0","0","25,33097","30,32451","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","28","1","16,4833717346191","","0L","2:01,310","0:35,872","0:51,305","0:34,132","+3,221","+4,673","-4,771","-1,787","OPTIMUM","Dry","26,8573031040268","26,9162802852349","26,6197498993289","26,4984276845638","83,2389705704698","94,0016046308725","82,8457526006711","91,2343286912752","1","254 Km/h","23,0543392504931","0","0","0","0","0","25,29919","30,22838","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","29","1","13,2922430038452","Invalid lap. ","0L","2:01,280","0:35,877","0:51,227","0:34,175","+3,191","+4,643","-4,801","-1,817","OPTIMUM","Dry","26,8313837542088","26,9005084006734","26,5613067676768","26,4051903535354","82,9902572222222","93,8585941919192","82,2582531649832","90,6036379292929","1","254 Km/h","23,5013654223969","0","0","0","0","0","25,26714","30,13156","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","30","1","10,0899648666382","","0L","2:01,450","0:35,895","0:51,420","0:34,135","+3,361","+4,813","-4,631","-1,647","OPTIMUM","Dry","26,8431390420168","26,9190135966387","26,5282024033613","26,3818980840336","83,1342011428572","94,0728473277311","81,9349053109244","90,3825014621849","1","254 Km/h","22,8890424481737","0","0","0","0","0","25,23475","30,03377","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","31","1","6,89978218078613","","0L","2:01,417","0:35,842","0:51,395","0:34,180","+3,328","+4,780","-4,664","-1,680","OPTIMUM","Dry","26,8586329579832","26,9447398151261","26,4736648403361","26,3670202689076","83,317244184874","94,3624790420168","81,7744311260504","90,249174907563","1","254 Km/h","23,8486403940887","0","0","0","0","0","25,20217","29,9355","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","32","1","3,69061279296875","","0L","2:01,557","0:35,912","0:51,465","0:34,180","+3,468","+4,920","-4,524","-1,540","OPTIMUM","Dry","26,8381130100334","26,881068277592","26,5018167892977","26,3969068060201","83,125346354515","93,7210845986622","82,1512278929766","90,5823415886288","1","253 Km/h","22,9823471400394","0","0","0","0","0","25,1692","29,83616","0","2","31","Regular","0"
